Minute,Util_M1,Util_PT
944,33,1787
945,37,1812
946,31,1801
947,32,1796
948,35,1796
949,35,1816
950,39,1816
951,39,1822
952,41,1816
953,43,1815
954,44,1813
955,46,1816
956,47,1824
957,47,1817
958,46,1799
959,40,1785
960,41,1785
961,42,1803
962,38,1782
963,41,1796
964,40,1787
965,39,1804
966,40,1795
967,37,1773
968,39,1766
969,41,1762
970,39,1779
971,37,1761
972,35,1754
973,33,1745
974,33,1721
975,38,1757
976,40,1743
977,41,1745
978,40,1749
979,44,1761
980,42,1769
981,42,1757
982,43,1757
983,43,1776
984,44,1760
985,43,1774
986,46,1759
987,47,1771
988,51,1780
989,53,1757
990,52,1791
991,50,1797
992,48,1797
993,51,1800
994,50,1807
995,47,1816
996,46,1818
997,44,1832
998,45,1845
999,48,1822
1000,44,1843
1001,46,1849
1002,43,1856
1003,42,1856
1004,40,1845
1005,40,1894
1006,39,1872
1007,37,1880
1008,38,1880
1009,37,1877
1010,36,1878
1011,38,1869
1012,37,1864
1013,36,1881
1014,33,1858
1015,38,1896
1016,40,1894
1017,42,1888
1018,45,1893
1019,46,1896
1020,45,1927
1021,42,1914
1022,39,1898
1023,39,1882
1024,39,1876
1025,40,1881
1026,40,1881
1027,38,1874
1028,38,1863
1029,35,1853
1030,34,1868
1031,34,1836
1032,33,1843
1033,34,1810
1034,34,1825
1035,36,1830
1036,37,1818
1037,35,1802
1038,41,1780
1039,44,1760
1040,41,1776
1041,39,1770
1042,42,1743
1043,38,1755
1044,38,1715
1045,39,1718
1046,40,1708
1047,38,1691
1048,39,1697
1049,41,1672
1050,38,1659
1051,40,1674
1052,41,1667
1053,35,1683
1054,30,1686
1055,29,1706
1056,29,1708
1057,30,1688
1058,35,1697
1059,36,1687
1060,36,1700
1061,38,1709
1062,35,1700
1063,35,1716
1064,35,1701
1065,36,1720
1066,36,1693
1067,33,1664
1068,31,1667
1069,35,1670
1070,34,1678
1071,33,1656
1072,32,1660
1073,31,1650
1074,32,1631
1075,34,1652
1076,34,1652
1077,37,1623
1078,33,1611
1079,34,1594
1080,32,1586
1081,32,1573
1082,30,1569
1083,33,1556
1084,29,1537
1085,30,1551
1086,29,1540
1087,27,1528
1088,26,1534
1089,25,1520
1090,24,1518
1091,25,1520
1092,25,1525
1093,19,1509
1094,18,1507
1095,18,1501
1096,17,1480
1097,18,1479
1098,18,1465
1099,21,1453
1100,22,1448
1101,23,1440
1102,28,1402
1103,28,1403
1104,24,1378
1105,25,1351
1106,20,1354
1107,18,1312
1108,20,1325
1109,22,1310
1110,21,1316
1111,18,1286
1112,15,1257
1113,16,1242
1114,17,1239
1115,22,1238
1116,23,1239
1117,22,1225
1118,22,1223
1119,20,1217
1120,21,1212
1121,21,1184
1122,19,1194
1123,18,1187
1124,24,1179
1125,26,1179
1126,26,1155
1127,27,1139
1128,30,1133
1129,28,1120
1130,26,1111
1131,25,1129
1132,22,1101
1133,23,1097
1134,19,1087
1135,18,1110
1136,16,1087
1137,16,1081
1138,16,1080
1139,15,1067
1140,15,1065
1141,16,1036
1142,15,1025
1143,14,1014
1144,16,983
1145,16,986
1146,16,974
1147,20,981
1148,21,981
1149,23,955
1150,24,949
1151,20,935
1152,18,931
1153,18,913
1154,17,875
1155,18,872
1156,17,847
1157,16,836
1158,18,832
1159,17,813
1160,18,815
1161,18,818
1162,17,802
1163,15,796
1164,14,774
1165,13,786
1166,11,781
1167,13,773
1168,15,768
1169,13,748
1170,12,739
1171,11,744
1172,12,724
1173,12,709
1174,11,693
1175,11,683
1176,14,711
1177,16,710
1178,15,704
1179,18,702
1180,22,703
1181,21,707
1182,21,713
1183,19,694
1184,18,687
1185,17,684
1186,16,674
1187,18,664
1188,18,656
1189,16,653
1190,16,663
1191,17,662
1192,16,633
1193,18,636
1194,16,637
1195,16,645
1196,17,644
1197,16,654
1198,18,659
1199,19,653
1200,19,658
1201,22,643
1202,21,633
1203,23,637
1204,23,623
1205,22,626
1206,22,622
1207,19,615
1208,21,617
1209,21,614
1210,22,600
1211,21,590
1212,20,590
1213,19,590
1214,20,575
1215,19,576
1216,17,553
1217,17,539
1218,17,530
1219,17,519
1220,15,522
1221,13,507
1222,11,497
1223,10,499
1224,11,485
1225,11,484
1226,12,493
1227,15,486
1228,15,477
1229,15,469
1230,21,465
1231,20,450
1232,19,440
1233,18,437
1234,17,423
1235,20,425
1236,20,408
1237,21,408
1238,20,403
1239,18,385
1240,16,389
1241,17,377
1242,14,371
1243,13,372
1244,11,370
1245,9,367
1246,8,359
1247,7,360
1248,7,356
1249,8,345
1250,9,341
1251,11,342
1252,10,329
1253,11,334
1254,10,324
1255,9,328
1256,10,334
1257,9,330
1258,11,327
1259,10,316
1260,10,321
1261,8,311
1262,5,301
1263,5,302
1264,5,290
1265,4,289
1266,6,293
1267,6,291
1268,6,297
1269,6,291
1270,5,286
1271,4,280
1272,3,275
1273,3,275
1274,4,273
1275,3,277
1276,3,274
1277,3,276
1278,3,280
1279,2,275
1280,3,269
1281,4,256
1282,6,237
1283,5,242
1284,7,238
1285,9,244
1286,11,242
1287,11,243
1288,11,245
1289,13,237
1290,15,254
1291,15,249
1292,17,253
1293,18,251
1294,17,247
1295,16,252
1296,16,252
1297,15,245
1298,15,245
1299,15,247
1300,12,238
1301,14,239
1302,13,237
1303,11,234
1304,9,233
1305,9,238
1306,7,225
1307,6,218
1308,5,218
1309,4,210
1310,5,213
1311,6,207
1312,6,206
1313,6,206
1314,7,196
1315,7,200
1316,7,196
1317,6,194
1318,6,188
1319,5,182
1320,5,184
1321,4,188
1322,3,189
1323,2,189
1324,3,193
1325,3,184
1326,3,184
1327,3,182
1328,3,173
1329,3,178
1330,3,174
1331,5,170
1332,6,170
1333,6,164
1334,5,168
1335,5,165
1336,4,164
1337,4,159
1338,4,152
1339,4,143
1340,5,146
1341,5,150
1342,5,144
1343,5,139
1344,4,139
1345,3,144
1346,3,144
1347,3,140
1348,4,139
1349,4,127
1350,4,136
1351,4,134
1352,3,126
1353,3,124
1354,2,122
1355,2,122
1356,1,124
1357,2,123
1358,2,118
1359,2,115
1360,2,117
1361,1,108
1362,1,105
1363,3,105
1364,3,103
1365,3,98
1366,3,98
1367,3,102
1368,3,101
1369,3,102
1370,5,101
1371,4,97
1372,3,90
1373,3,95
1374,2,93
1375,2,90
1376,2,88
1377,2,85
1378,2,83
1379,2,85
1380,2,84
1381,1,82
1382,1,77
1383,1,76
1384,1,76
1385,1,73
1386,1,75
1387,1,73
1388,1,70
1389,1,63
1390,1,63
1391,1,61
1392,1,61
1393,2,58
1394,2,60
1395,2,59
1396,2,58
1397,2,59
1398,1,55
1399,1,54
1400,1,52
1401,2,52
1402,1,50
1403,1,51
1404,1,52
1405,1,51
1406,1,48
1407,1,48
1408,1,47
1409,1,44
1410,1,45
1411,1,44
1412,0,45
1413,0,44
1414,0,42
1415,0,41
1416,0,41
1417,0,39
1418,0,40
1419,0,38
1420,0,36
1421,0,38
1422,0,37
1423,0,35
1424,0,31
1425,2,32
1426,2,28
1427,3,29
1428,3,31
1429,2,31
1430,2,31
1431,2,30
1432,2,29
1433,2,30
1434,2,30
1435,2,31
1436,2,32
1437,2,31
1438,2,26
1439,2,27
1440,2,28
1441,2,29
1442,1,27
1443,1,31
1444,1,33
1445,0,33
1446,0,34
1447,0,33
1448,0,33
1449,0,31
1450,1,33
1451,1,34
1452,0,35
1453,0,36
1454,0,37
1455,0,36
1456,0,38
1457,1,36
1458,1,33
1459,1,33
1460,1,33
1461,1,31
1462,2,30
1463,1,29
1464,1,30
1465,1,30
1466,1,28
1467,1,28
1468,1,29
1469,1,28
1470,1,28
1471,1,28
1472,1,28
1473,1,25
1474,1,24
1475,1,22
1476,1,20
1477,0,17
1478,0,16
1479,0,16
1480,0,16
1481,0,15
1482,0,15
1483,0,14
1484,0,13
1485,0,12
1486,0,11
1487,0,12
1488,0,12
1489,0,12
1490,0,11
1491,0,10
1492,0,11
1493,0,10
1494,0,8
1495,0,9
1496,0,8
1497,0,8
1498,0,9
1499,0,9
1500,0,9
1501,0,9
1502,0,9
1503,0,8
1504,0,7
1505,0,8
1506,0,7
1507,0,6
1508,0,6
1509,0,6
1510,0,6
1511,0,5
1512,0,5
1513,0,5
1514,0,5
1515,0,5
1516,0,5
1517,0,5
1518,0,5
1519,0,5
1520,0,5
1521,0,6
1522,0,7
1523,0,7
1524,0,7
1525,0,7
1526,0,7
1527,0,7
1528,0,7
1529,0,6
1530,0,6
1531,0,6
1532,0,5
1533,0,5
1534,0,5
1535,0,5
1536,0,5
1537,0,4
1538,0,3
1539,0,2
1540,0,2
1541,0,2
1542,0,2
1543,0,2
1544,0,3
1545,0,3
1546,0,4
1547,0,3
1548,0,3
1549,0,3
1550,0,3
1551,0,3
1552,0,3
1553,0,3
1554,0,3
1555,0,3
1556,0,3
1557,0,3
1558,0,3
1559,0,3
1560,0,3
1561,0,4
1562,0,4
1563,0,4
1564,0,4
1565,0,4
1566,0,4
1567,0,4
1568,0,4
1569,0,3
1570,0,3
1571,0,3
1572,0,2
1573,0,1
1574,0,1
1575,0,1
1576,0,1
1577,0,1
1578,0,1
1579,0,1
1580,0,1
1581,0,2
1582,0,2
1583,0,2
1584,0,2
1585,0,2
1586,0,2
1587,0,2
1588,0,2
1589,0,2
1590,0,2
1591,0,2
1592,0,2
1593,0,2
1594,0,2
1595,0,2
1596,0,2
1597,0,2
1598,0,2
1599,0,2
1600,0,2
1601,0,2
1602,0,2
1603,0,2
1604,0,2
1605,0,2
1606,0,2
1607,0,2
1608,0,2
1609,0,2
1610,0,2
1611,0,2
1612,0,2
1613,0,2
1614,0,2
1615,0,2
1616,0,2
1617,0,2
1618,0,2
1619,0,2
1620,0,2
1621,0,2
1622,0,2
1623,0,2
1624,0,2
1625,0,2
1626,0,2
1627,0,2
1628,0,2
1629,0,2
1630,0,2
1631,0,2
1632,0,2
1633,0,2
1634,0,2
1635,0,2
1636,0,2
1637,0,2
1638,0,2
1639,0,2
1640,0,2
1641,0,2
1642,0,2
1643,0,2
1644,0,2
1645,0,2
1646,0,2
1647,0,2
1648,0,2
1649,0,2
1650,0,2
1651,0,2
1652,0,2
1653,0,2
1654,0,3
1655,0,3
1656,0,3
1657,0,3
1658,0,3
1659,0,3
1660,0,3
1661,0,3
1662,0,3
1663,0,3
1664,0,3
1665,0,3
1666,0,3
1667,0,3
1668,0,3
1669,0,3
1670,0,3
1671,0,3
1672,0,3
1673,0,3
1674,0,3
1675,0,3
1676,0,3
1677,0,3
1678,0,3
1679,0,3
1680,0,3
1681,0,3
1682,0,3
1683,0,3
1684,0,3
1685,0,3
1686,0,3
1687,0,3
1688,0,3
1689,0,3
1690,0,3
1691,0,3
1692,0,3
1693,0,3
1694,0,3
1695,0,3
1696,0,3
1697,0,3
1698,0,3
1699,0,3
1700,0,3
1701,0,3
1702,0,3
1703,0,3
1704,0,3
1705,0,3
1706,0,3
1707,0,3
1708,0,2
1709,0,2
1710,0,2
1711,0,2
1712,0,2
1713,0,2
1714,0,2
1715,0,2
1716,0,2
1717,0,2
1718,0,2
1719,0,2
1720,0,2
1721,0,2
1722,0,2
1723,0,2
1724,0,2
1725,0,2
1726,0,2
1727,0,2
1728,0,2
1729,0,2
1730,0,2
1731,0,2
1732,0,2
1733,0,2
1734,0,2
1735,0,2
1736,0,2
1737,0,2
1738,0,2
1739,0,2
1740,0,2
1741,0,2
1742,0,1
1743,0,1
1744,0,1
1745,0,1
1746,0,1
1747,0,1
1748,0,1
1749,0,1
1750,0,1
1751,0,1
1752,0,1
1753,0,1
1754,0,1
1755,0,1
1756,0,1
1757,0,1
1758,0,1
1759,0,1
1760,0,1
1761,0,1
1762,0,1
1763,0,1
1764,0,1
1765,0,1
1766,0,1
1767,0,2
1768,0,1
1769,0,1
1770,0,1
1771,0,1
1772,0,1
1773,0,1
1774,0,1
1775,0,1
1776,0,1
1777,0,1
1778,0,1
1779,0,1
1780,0,1
1781,0,1
1782,0,1
1783,0,1
1784,0,1
1785,0,1
1786,0,1
1787,0,1
1788,0,1
1789,0,1
1790,0,1
1791,0,1
1792,0,1
1793,0,1
1794,0,1
1795,0,1
1796,0,1
1797,0,1
1798,0,1
1799,0,1
1800,0,1
1801,0,1
1802,0,1
1803,0,1
1804,0,1
1805,0,1
1806,0,1
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
