Minute,Util_M1-,Util_PT
1078,10,1618
1079,12,1594
1080,12,1593
1081,11,1580
1082,11,1568
1083,11,1549
1084,10,1517
1085,11,1530
1086,9,1522
1087,9,1498
1088,7,1503
1089,6,1499
1090,6,1496
1091,6,1498
1092,5,1503
1093,5,1492
1094,6,1492
1095,6,1489
1096,5,1474
1097,5,1474
1098,4,1461
1099,5,1448
1100,6,1451
1101,6,1433
1102,7,1401
1103,7,1392
1104,6,1371
1105,6,1355
1106,6,1360
1107,7,1323
1108,8,1328
1109,8,1319
1110,6,1324
1111,4,1299
1112,4,1270
1113,4,1259
1114,6,1251
1115,5,1243
1116,6,1250
1117,6,1236
1118,6,1218
1119,6,1217
1120,6,1209
1121,6,1189
1122,6,1185
1123,6,1178
1124,7,1163
1125,8,1152
1126,7,1118
1127,7,1106
1128,6,1109
1129,6,1093
1130,6,1079
1131,7,1085
1132,6,1055
1133,6,1065
1134,6,1066
1135,6,1081
1136,7,1060
1137,7,1052
1138,6,1050
1139,6,1047
1140,4,1039
1141,5,1019
1142,4,999
1143,5,992
1144,6,974
1145,6,972
1146,6,964
1147,6,970
1148,4,977
1149,5,952
1150,5,939
1151,5,926
1152,4,915
1153,2,890
1154,2,856
1155,2,854
1156,2,823
1157,2,808
1158,2,809
1159,2,804
1160,2,797
1161,1,802
1162,1,801
1163,1,789
1164,1,769
1165,0,784
1166,0,778
1167,1,770
1168,1,766
1169,2,753
1170,2,740
1171,3,744
1172,3,728
1173,2,710
1174,2,696
1175,3,684
1176,3,708
1177,3,706
1178,2,697
1179,2,682
1180,2,685
1181,3,683
1182,3,691
1183,5,679
1184,5,655
1185,5,662
1186,5,653
1187,5,644
1188,6,645
1189,5,648
1190,5,662
1191,5,661
1192,5,643
1193,5,649
1194,4,647
1195,4,645
1196,4,636
1197,5,635
1198,5,641
1199,7,644
1200,7,652
1201,6,643
1202,6,644
1203,6,635
1204,6,617
1205,5,622
1206,7,616
1207,7,607
1208,6,605
1209,5,596
1210,6,583
1211,5,577
1212,5,578
1213,5,572
1214,5,561
1215,5,559
1216,5,539
1217,5,522
1218,5,518
1219,5,506
1220,5,506
1221,4,499
1222,4,483
1223,4,480
1224,2,472
1225,2,473
1226,3,476
1227,4,459
1228,4,464
1229,5,450
1230,5,450
1231,5,437
1232,5,433
1233,5,426
1234,6,416
1235,6,418
1236,5,403
1237,5,401
1238,5,399
1239,6,381
1240,7,375
1241,7,370
1242,6,369
1243,5,372
1244,4,363
1245,3,362
1246,3,356
1247,4,359
1248,4,361
1249,4,353
1250,3,350
1251,4,345
1252,4,335
1253,4,333
1254,4,335
1255,4,337
1256,4,346
1257,3,341
1258,3,343
1259,3,339
1260,3,345
1261,3,337
1262,2,328
1263,3,327
1264,3,312
1265,3,316
1266,3,316
1267,4,315
1268,4,316
1269,3,312
1270,3,315
1271,3,307
1272,3,306
1273,3,296
1274,3,293
1275,4,300
1276,3,288
1277,3,289
1278,3,291
1279,3,285
1280,3,282
1281,4,265
1282,5,249
1283,4,249
1284,4,241
1285,5,249
1286,5,243
1287,5,244
1288,5,245
1289,5,243
1290,5,252
1291,4,249
1292,5,254
1293,5,250
1294,3,241
1295,3,248
1296,3,254
1297,3,243
1298,2,241
1299,3,239
1300,3,232
1301,3,237
1302,2,236
1303,2,234
1304,2,233
1305,3,239
1306,3,226
1307,2,221
1308,2,226
1309,2,214
1310,4,220
1311,4,213
1312,4,215
1313,4,210
1314,5,206
1315,4,203
1316,4,202
1317,3,201
1318,3,194
1319,3,191
1320,3,192
1321,3,188
1322,3,191
1323,3,190
1324,3,192
